trip_id,start_time,end_time,has_shape,color
A20161106SAT_105400_GS.S01R,63240,63330,True,6D6E71
A20161106SAT_106000_GS.N01R,63600,63690,True,6D6E71
A20161106SAT_106400_GS.S01R,63840,63930,True,6D6E71
A20161106SAT_107000_GS.N01R,64200,64290,True,6D6E71
A20161106SAT_107400_GS.S01R,64440,64530,True,6D6E71
A20161106SAT_108000_GS.N01R,64800,64890,True,6D6E71
A20161106SAT_108400_GS.S01R,65040,65130,True,6D6E71
A20161106SAT_109000_GS.N01R,65400,65490,True,6D6E71
A20161106SAT_109400_GS.S01R,65640,65730,True,6D6E71
A20161106SAT_110000_GS.N01R,66000,66090,True,6D6E71
A20161106SAT_110400_GS.S01R,66240,66330,True,6D6E71
A20161106SAT_111000_GS.N01R,66600,66690,True,6D6E71
A20161106SAT_111400_GS.S01R,66840,66930,True,6D6E71
A20161106SAT_112000_GS.N01R,67200,67290,True,6D6E71
A20161106SAT_112400_GS.S01R,67440,67530,True,6D6E71
A20161106SAT_113000_GS.N01R,67800,67890,True,6D6E71
A20161106SAT_113400_GS.S01R,68040,68130,True,6D6E71
A20161106SAT_114000_GS.N01R,68400,68490,True,6D6E71
A20161106SAT_114400_GS.S01R,68640,68730,True,6D6E71
A20161106SAT_115000_GS.N01R,69000,69090,True,6D6E71
A20161106SAT_115400_GS.S01R,69240,69330,True,6D6E71
A20161106SAT_116000_GS.N01R,69600,69690,True,6D6E71
A20161106SAT_116400_GS.S01R,69840,69930,True,6D6E71
A20161106SAT_117000_GS.N01R,70200,70290,True,6D6E71
A20161106SAT_117400_GS.S01R,70440,70530,True,6D6E71
A20161106SAT_118000_GS.N01R,70800,70890,True,6D6E71
A20161106SAT_118400_GS.S01R,71040,71130,True,6D6E71
A20161106SAT_119000_GS.N01R,71400,71490,True,6D6E71
A20161106SAT_119400_GS.S01R,71640,71730,True,6D6E71
A20161106SAT_120000_GS.N01R,72000,72090,True,6D6E71
A20161106SAT_120400_GS.S01R,72240,72330,True,6D6E71
A20161106SAT_121000_GS.N01R,72600,72690,True,6D6E71
A20161106SAT_121400_GS.S01R,72840,72930,True,6D6E71
A20161106SAT_122000_GS.N01R,73200,73290,True,6D6E71
A20161106SAT_122400_GS.S01R,73440,73530,True,6D6E71
A20161106SAT_123000_GS.N01R,73800,73890,True,6D6E71
A20161106SAT_123400_GS.S01R,74040,74130,True,6D6E71
A20161106SAT_124000_GS.N01R,74400,74490,True,6D6E71
A20161106SAT_124400_GS.S01R,74640,74730,True,6D6E71
A20161106SAT_125000_GS.N01R,75000,75090,True,6D6E71
A20161106SAT_125400_GS.S01R,75240,75330,True,6D6E71
A20161106SAT_126000_GS.N01R,75600,75690,True,6D6E71
A20161106SAT_126400_GS.S01R,75840,75930,True,6D6E71
A20161106SAT_127000_GS.N01R,76200,76290,True,6D6E71
A20161106SAT_127400_GS.S01R,76440,76530,True,6D6E71
A20161106SAT_128000_GS.N01R,76800,76890,True,6D6E71
A20161106SAT_128400_GS.S01R,77040,77130,True,6D6E71
A20161106SAT_129000_GS.N01R,77400,77490,True,6D6E71
A20161106SAT_129400_GS.S01R,77640,77730,True,6D6E71
A20161106SAT_130000_GS.N01R,78000,78090,True,6D6E71
A20161106SAT_130400_GS.S01R,78240,78330,True,6D6E71
A20161106SAT_131000_GS.N01R,78600,78690,True,6D6E71
A20161106SAT_131400_GS.S01R,78840,78930,True,6D6E71
A20161106SAT_132000_GS.N01R,79200,79290,True,6D6E71
A20161106SAT_132400_GS.S01R,79440,79530,True,6D6E71
A20161106SAT_133000_GS.N01R,79800,79890,True,6D6E71
A20161106SAT_133400_GS.S01R,80040,80130,True,6D6E71
A20161106SAT_134000_GS.N01R,80400,80490,True,6D6E71
A20161106SAT_134400_GS.S01R,80640,80730,True,6D6E71
A20161106SAT_135000_GS.N01R,81000,81090,True,6D6E71
A20161106SAT_135400_GS.S01R,81240,81330,True,6D6E71
A20161106SAT_136000_GS.N01R,81600,81690,True,6D6E71
A20161106SAT_136400_GS.S01R,81840,81930,True,6D6E71
A20161106SAT_137000_GS.N01R,82200,82290,True,6D6E71
A20161106SAT_137400_GS.S01R,82440,82530,True,6D6E71
A20161106SAT_138000_GS.N01R,82800,82890,True,6D6E71
A20161106SAT_138400_GS.S01R,83040,83130,True,6D6E71
A20161106SAT_139000_GS.N01R,83400,83490,True,6D6E71
A20161106SAT_139400_GS.S01R,83640,83730,True,6D6E71
A20161106SAT_140000_GS.N01R,84000,84090,True,6D6E71
